Rank,Company Name,Revenue,Profit,Assets,Market Value
280,Denso,$49.4 B,$2.2 B,$60.1 B,$49.3 B
280,DNB Bank,$18.5 B,$3.5 B,$359.2 B,$29.4 B
282,Archer Daniels Midland,$91.7 B,$3 B,$54.8 B,$30.5 B
282,Marsh McLennan,$23.3 B,$3.9 B,$47.6 B,$103.5 B
284,Tata Motors,$52.9 B,$3.8 B,$44.4 B,$43.8 B
285,Sumitomo,$47.8 B,$2.7 B,$72.9 B,$32.3 B
286,Paccar,$35.4 B,$5.1 B,$40.4 B,$55.6 B
287,Fairfax Financial,$37.9 B,$3.9 B,$81.1 B,$27 B
288,PG&E,$24.1 B,$2.4 B,$127.6 B,$39.8 B
289,SEB AB,$17.6 B,$3.6 B,$386.2 B,$29.2 B
290,Allstate,$58.6 B,$1.4 B,$96.5 B,$44.7 B
291,Kroger,$150 B,$2.1 B,$50.5 B,$39.1 B
292,Erste Group Bank,$26.1 B,$3.3 B,$370.1 B,$20.6 B
293,Axis Bank,$16.7 B,$3.2 B,$182 B,$42.3 B
294,Humana,$109.2 B,$2 B,$50.1 B,$42.9 B
295,Ameriprise Financial,$16.6 B,$3.1 B,$179.8 B,$43.1 B
296,Marubeni,$50.1 B,$3.3 B,$59 B,$32.2 B
297,Bank Of Jiangsu,$20.6 B,$4.1 B,$507.8 B,$21.3 B
298,CRH,$34.9 B,$3.1 B,$46.3 B,$56.6 B
299,China Unicom,$52.7 B,$2.7 B,$93.2 B,$24.8 B
299,Sun Life Financial,$23.3 B,$2.4 B,$247.4 B,$30.2 B
301,American Electric,$19.6 B,$2.8 B,$97.7 B,$48.8 B
302,Banco Btg Pactual,$17 B,$2.1 B,$113.4 B,$78.8 B
303,Northrop Grumman,$40.1 B,$2.2 B,$47.8 B,$69.6 B
304,Shinhan Financial Group,$28.6 B,$3.1 B,$527.2 B,$18.5 B
305,Couche Tard,$68 B,$2.9 B,$36.2 B,$53.4 B
306,Xiaomi,$38.2 B,$2.5 B,$45.7 B,$63.8 B
307,CK Hutchison,$35.2 B,$3 B,$148.4 B,$20.7 B
308,Bank Rakyat Indonesia (BRI),$14.9 B,$3.9 B,$125.5 B,$46.5 B
309,Koç Holding,$67.4 B,$3 B,$96.8 B,$19.3 B
310,"Merck KGaA, Darmstadt, Germany and its affiliates",$22.6 B,$3 B,$53.5 B,$79.1 B
311,Commerzbank,$25.7 B,$2.6 B,$596.1 B,$19.9 B
312,Meituan,$39 B,$2 B,$41.9 B,$100 B
313,Seven & I Holdings,$80.1 B,$1.6 B,$70.8 B,$33.9 B
314,Diageo,$20.4 B,$4 B,$46.8 B,$79 B
315,Eaton,$23.7 B,$3.4 B,$38.5 B,$132 B
316,Cathay Financial,$29 B,$1.6 B,$417 B,$25.7 B
316,Ecopetrol,$32.3 B,$4.2 B,$74.7 B,$24.9 B
318,Talanx,$54 B,$1.9 B,$179.7 B,$20.1 B
319,Starbucks,$36.5 B,$4.2 B,$29.4 B,$88.2 B
320,Altria Group,$20.5 B,$8.5 B,$36.5 B,$79.1 B
321,Exelon,$22.2 B,$2.3 B,$103.2 B,$38.6 B
322,D.R. Horton,$37.1 B,$5 B,$34.4 B,$49.9 B
323,National Bank of Canada,$18.2 B,$2.5 B,$324.8 B,$28.8 B
324,Discover Financial Services,$21.6 B,$2.3 B,$152.7 B,$31.4 B
325,Nippon Steel,$61.3 B,$3.8 B,$70.8 B,$19.4 B
