Rank,Company Name,Revenue,Profit,Assets,Market Value
"1,451",Charoen Pokphand Group,$16.5 B,$-59.5 M,$24.8 B,$4.9 B
"1,452",Goodyear,$19.7 B,$-645 M,$22 B,$3.7 B
"1,452",Military Commercial Joint Stock Bank,$3.5 B,$838.2 M,$36.3 B,$4.8 B
"1,454",Wintrust Financial,$3.8 B,$629.7 M,$57.6 B,$6.3 B
"1,455",Jones Lang LaSalle,$21.2 B,$300.7 M,$15.5 B,$9.8 B
"1,456",Carlisle Cos,$5 B,$773.3 M,$6.6 B,$19.9 B
"1,457",Snap-on,$5.1 B,$1 B,$7.7 B,$14.7 B
"1,458",Fukuoka Financial Group,$2.8 B,$423.1 M,$215.7 B,$5.2 B
"1,459",CBOE Global Markets,$3.7 B,$793.2 M,$8.2 B,$19.3 B
"1,459",Genmab,$2.6 B,$792.9 M,$5.3 B,$19.4 B
"1,461",Booz Allen Hamilton Holding,$10.3 B,$405.9 M,$6.5 B,$19.8 B
"1,462",Advanced Info Service,$5.5 B,$873.7 M,$12.5 B,$17.1 B
"1,462",BorgWarner,$15.3 B,$614 M,$14.1 B,$8.5 B
"1,464",New York Community Bancorp,$6.7 B,$-2.4 B,$112.9 B,$3 B
"1,464",Old Republic International,$7.5 B,$715.4 M,$21.1 B,$8.8 B
"1,466",Hubbell,$5.5 B,$724 M,$6.9 B,$21.1 B
"1,467",Lotte Chemical,$15.2 B,$-192.7 M,$26.1 B,$3.7 B
"1,468",Moderna,$5.1 B,$-6 B,$16.7 B,$50.9 B
"1,469",Colruyt,$10.8 B,$1.1 B,$7.1 B,$5.6 B
"1,470",China Longyuan Power,$5.2 B,$885.3 M,$32.8 B,$7.4 B
"1,470",Hyatt Hotels,$7.2 B,$684 M,$11.7 B,$15.1 B
"1,472",Bank of Qingdao,$3.6 B,$521.2 M,$86.2 B,$2 B
"1,472",SGS,$7.4 B,$615.4 M,$8 B,$16.8 B
"1,474",Cleveland-Cliffs,$21.9 B,$389 M,$17.2 B,$8.3 B
"1,475",Bath & Body Works,$7.4 B,$878 M,$5.5 B,$11.2 B
"1,475",Empire,$22.8 B,$562.5 M,$12.4 B,$6.3 B
"1,477",Ultrapar Participacoes,$25.5 B,$528.7 M,$7.4 B,$5.3 B
"1,478",Vietnam Technological & Commercial Joint Stock Bank,$3 B,$819.2 M,$35.7 B,$6.9 B
"1,479",Guangzhou Rural Commercial Bank,$6.1 B,$377.1 M,$185.4 B,$2.6 B
"1,480",LG,$5 B,$873.5 M,$22.7 B,$9.3 B
"1,481",Check Point Software,$2.4 B,$840.1 M,$5.5 B,$17.1 B
"1,481",CIFI Holdings Group,$10.1 B,$-1.3 B,$42.5 B,$721 M
"1,483",Bank of Guizhou,$3.5 B,$518.4 M,$81.3 B,$2.8 B
"1,484",VeriSign,$1.5 B,$833 M,$1.7 B,$17 B
"1,484",Vertiv Holdings,$7 B,$404 M,$7.6 B,$36.2 B
"1,486",Ningxia Baofeng Energy Group,$4.2 B,$820.8 M,$10.2 B,$17.2 B
"1,487",Stora Enso,$9.6 B,$-499.8 M,$21.9 B,$11.8 B
"1,488",KPN,$5.9 B,$913.5 M,$13.5 B,$15 B
"1,489",Shenzhen Inovance Technology,$4.5 B,$670.2 M,$7 B,$22.5 B
"1,490",Chiba Bank,$2 B,$431.8 M,$140.9 B,$6.1 B
"1,490",China Development Bank Financial Leasing,$3.7 B,$585.4 M,$57.8 B,$3.6 B
"1,492",First Pacific,$10.5 B,$501.4 M,$27.4 B,$2 B
"1,492",Prada,$5.1 B,$725.4 M,$8.4 B,$19.8 B
"1,494",Albemarle,$8.4 B,$337.3 M,$19 B,$15.4 B
"1,495",Cosmo Energy Holdings,$18.9 B,$567.5 M,$14.6 B,$4.1 B
"1,496",Equifax,$5.4 B,$557.8 M,$12.3 B,$30.7 B
"1,497",AppLovin,$3.6 B,$594.1 M,$5.3 B,$27.1 B
"1,498",Knorr-Bremse,$8.7 B,$597.3 M,$9.5 B,$13 B
"1,499",Grupo Bolivar,$8.4 B,$-8.9 M,$52 B,$1.4 B
"1,500",Brighthouse Financial,$2.9 B,$-1.1 B,$238.8 B,$2.8 B
"1,501",Bank of East Asia,$5.7 B,$449.9 M,$110.2 B,$3.6 B
"1,502",Schaeffler,$17.6 B,$446.7 M,$18.7 B,$4.6 B
"1,503",Japan Airlines,$11.4 B,$660.7 M,$17.5 B,$7.6 B
"1,504",AECOM,$15.3 B,$-13.8 M,$11.5 B,$12.2 B
"1,505",Shionogi,$3 B,$1.1 B,$9.4 B,$12.5 B
"1,505",Unicharm,$6.6 B,$604.2 M,$7.7 B,$19.2 B
"1,507",Taishin Financial Holdings,$3.6 B,$462.5 M,$100.1 B,$7.3 B
"1,508",Bandai Namco Holdings,$7.3 B,$701.9 M,$6.4 B,$13.2 B
"1,509",Geberit,$3.4 B,$686.6 M,$4.2 B,$20.6 B
"1,510",Veeva Systems,$2.4 B,$525.7 M,$5.9 B,$34 B
"1,511","Hangzhou Binjiang Real Estate Group Co., Ltd.",$10.1 B,$366.6 M,$39.2 B,$4.4 B
"1,512",CrowdStrike,$3.1 B,$89.3 M,$6.6 B,$84.1 B
"1,513","Sumitomo Forestry Co.,",$12.5 B,$762.8 M,$12.7 B,$7.8 B
"1,514",Anhui Gujing Distillery,$2.6 B,$709.1 M,$5.6 B,$19.5 B
"1,514",News Corp,$9.9 B,$208 M,$16.5 B,$15 B
"1,516",Banca Popolare di Sondrio,$2.9 B,$555.1 M,$61.3 B,$4 B
"1,516",SS&C Technologies,$5.6 B,$638.7 M,$17.4 B,$15.8 B
"1,518",Ventas,$4.6 B,$-72.8 M,$24.7 B,$19.8 B
"1,519",Wheaton Precious Metals,$1.1 B,$590.7 M,$7.2 B,$25.9 B
"1,520",CPFL Energia,$8.1 B,$1.1 B,$15.1 B,$7.7 B
"1,521",MTN Group,$12 B,$221.6 M,$23.8 B,$8.6 B
"1,521",Skyworks Solutions,$4.5 B,$855.2 M,$8.3 B,$15 B
"1,523",Sime Darby,$11.9 B,$819.7 M,$12.2 B,$4.2 B
"1,524",Group 1 Automotive,$18.2 B,$577 M,$8.5 B,$4.3 B
"1,525",Dr. Sulaiman Al-Habib Medical Services Group,$2.6 B,$561.9 M,$4.5 B,$27.7 B
"1,526",Nan Ya Plastics,$8 B,$212.7 M,$20.4 B,$13.9 B
"1,527",PTT Global Chemical,$17.9 B,$8.8 M,$20.4 B,$4.7 B
"1,528",Sasol,$14.9 B,$206.1 M,$23.4 B,$4.7 B
"1,529",Genworth Financial,$7 B,$93 M,$70.9 B,$2.9 B
"1,529",Macy's,$23.9 B,$105 M,$17.4 B,$5.4 B
"1,531",Falabella,$13.1 B,$198.1 M,$24.8 B,$7.8 B
"1,532",Fuyao Glass Industry Group,$4.7 B,$795.1 M,$8 B,$15.8 B
"1,532",U-Haul Holding,$5.7 B,$637.3 M,$19 B,$13.5 B
"1,534",Tata Power Company,$7.4 B,$446.5 M,$16.7 B,$16.7 B
"1,535",West Pharmaceutical Services,$2.9 B,$568.7 M,$3.6 B,$25.9 B
"1,536",World Fuel Services,$46.2 B,$57.6 M,$7.2 B,$1.5 B
"1,537",Goodman Group,$1.3 B,$161.2 M,$15.7 B,$43.6 B
"1,538",United Therapeutics,$2.5 B,$1.1 B,$6.5 B,$12.2 B
"1,539",Banca Transilvania,$2.9 B,$685.8 M,$38.2 B,$5.2 B
"1,539",Qinghai Salt Lake Industry,$2.6 B,$923.5 M,$6.5 B,$13.2 B
"1,539",Shengjing Bank,$5.7 B,$105.8 M,$152.3 B,$936 M
"1,542",Cadence Bank,$2.5 B,$582.7 M,$48.3 B,$5.4 B
"1,542",NAURA Technology GroupLtd,$3.3 B,$618.3 M,$7.8 B,$21.4 B
"1,544",Wynn Resorts,$7 B,$861.9 M,$13.5 B,$10.8 B
"1,545",Brambles,$6.4 B,$763.8 M,$8.8 B,$13.3 B
"1,546",Chesapeake Energy,$4.7 B,$1.1 B,$14 B,$12 B
"1,547",Iveco Group,$17.5 B,$248.3 M,$19.9 B,$3.4 B
"1,548",Mebuki Financial Group,$1.9 B,$299.9 M,$143.9 B,$3.9 B
"1,549",Royalty Pharma,$2.2 B,$799.5 M,$16.1 B,$12.3 B
"1,550",Sonova Holding,$4.1 B,$678.3 M,$6.4 B,$19.1 B
"1,551",Chailease Holding,$3.2 B,$762.3 M,$30.1 B,$7.6 B
"1,552",Shanghai Commercial & Savings Bank,$3 B,$468.8 M,$75.8 B,$6.9 B
"1,553",Bank OZK,$2.4 B,$696.4 M,$36 B,$5.6 B
"1,553",China Huarong Asset Management,$5.3 B,$211.9 M,$136.5 B,$3.9 B
"1,553",Popular,$4 B,$485.6 M,$70.9 B,$6.6 B
"1,556",Fair Isaac,$1.6 B,$481 M,$1.7 B,$34.9 B
"1,557",Chang Hwa Bank,$2.8 B,$425.1 M,$94.7 B,$6.2 B
"1,558",Zoom Video Communications,$4.5 B,$637.5 M,$9.9 B,$19.9 B
"1,559",InterContinental Hotels,$4.6 B,$751.4 M,$4.8 B,$16.1 B
"1,560",HMM,$6.6 B,$818.6 M,$20.4 B,$8.2 B
"1,561",Migdal Insurance,$7.5 B,$114.3 M,$53 B,$1.3 B
"1,562",Shizuoka Financial Group,$2.3 B,$399.4 M,$106.7 B,$5.6 B
"1,562",Titan (India),$6.2 B,$421.8 M,$3.8 B,$35.8 B
"1,564",Waters,$2.9 B,$603.5 M,$4.5 B,$21.1 B
"1,565",Moncler SpA,$3.2 B,$661.6 M,$5.5 B,$18.8 B
"1,566",Shenzhen Overseas,$7.6 B,$-912.2 M,$50.4 B,$3.4 B
"1,567",Old National Bank,$2.6 B,$555.7 M,$49.5 B,$5.6 B
"1,568",Rajesh Exports,$36.9 B,$88.8 M,$2.3 B,$1.1 B
"1,569",Snowflake,$2.8 B,$-836.1 M,$8.2 B,$54.1 B
"1,570",TMBThanachart Bank,$2.8 B,$553.6 M,$49.5 B,$4.7 B
"1,570",Whirlpool,$19.3 B,$400 M,$17.4 B,$5 B
"1,572",Watsco,$7.3 B,$476.9 M,$4.4 B,$19.2 B
"1,573",Hellenic Petroleum,$14.1 B,$640.2 M,$9 B,$2.8 B
"1,574",Cullen/Frost Bankers,$2.7 B,$549.9 M,$49.5 B,$6.8 B
"1,575",Harbin Bank,$4.7 B,$105.9 M,$114.8 B,$465 M
"1,576",Alfa Laval,$6.1 B,$613.7 M,$8 B,$18.7 B
"1,576",FCC,$9.8 B,$638.9 M,$18.5 B,$6.6 B
"1,578",Doosan,$14.6 B,$-261.1 M,$21.8 B,$2.1 B
"1,578",Emera,$5 B,$513.8 M,$29.6 B,$10.5 B
"1,580",China Resources Beer (Holdings),$5.5 B,$741.1 M,$10.1 B,$15.4 B
"1,581",Commercial Bank Dubai,$2.2 B,$685.5 M,$35.1 B,$5.3 B
"1,581",JM Smucker,$8.2 B,$-101.2 M,$20.2 B,$12.2 B
"1,583",RPM International,$7.3 B,$556.7 M,$6.4 B,$14.6 B
"1,584",Pinnacle Financial Partners,$2.8 B,$548.8 M,$48.9 B,$6.4 B
"1,585",AviChina Industry & Technology,$11.9 B,$347.6 M,$26.1 B,$4 B
"1,586",Virgin Money UK,$5 B,$235.3 M,$112 B,$3.5 B
"1,587",C.H. Robinson,$17.4 B,$303.1 M,$5.5 B,$9.8 B
"1,588",Hokuhoku Financial Group,$1.1 B,$159.4 M,$108.2 B,$1.7 B
"1,589",NOV,$8.8 B,$986 M,$11.3 B,$7.5 B
"1,589",Unicaja Banco,$3.3 B,$288.3 M,$107.3 B,$3.8 B
"1,591",Chandra Asri Petrochemical,$2.1 B,$-75.7 M,$5.4 B,$49.3 B
"1,591",Stifel Financial,$5.3 B,$528.6 M,$38.3 B,$8.5 B
"1,593",Haitong Securities,$5.6 B,$163.9 M,$106.4 B,$6.9 B
"1,594",Gen Digital,$3.8 B,$616 M,$15.8 B,$15.7 B
"1,595",Covestro,$15.3 B,$-224.4 M,$14.8 B,$9.9 B
"1,595",Metro Group,$33.1 B,$-43.4 M,$12.4 B,$2 B
"1,597",Inner Mongolia Baotou Steel,$9.7 B,$40.2 M,$21.1 B,$10.1 B
"1,597",Palantir Technologies,$2.3 B,$298.6 M,$4.8 B,$48.5 B
"1,599",Asbury Automotive Group,$15.4 B,$568.2 M,$10.1 B,$4.9 B
"1,600",Fortum,$7 B,$-2.3 B,$20.5 B,$14.3 B
"1,601",Mirae Asset Financial Group,$5.1 B,$193.2 M,$101.4 B,$3.4 B
"1,602",Ayala Corp,$5.4 B,$732.3 M,$29.2 B,$6.7 B
"1,603",Atlassian,$4.2 B,$-162.6 M,$5.1 B,$46.8 B
"1,604",Jio Financial Services,$224 M,$193.8 M,$17.4 B,$27.2 B
"1,605",PT Amman Mineral Internasional,$2 B,$252.1 M,$9.9 B,$46.6 B
"1,606",SLM,$3.1 B,$752.8 M,$28.3 B,$4.6 B
"1,607",Trade Desk,$2.1 B,$201.3 M,$4.7 B,$46.4 B
"1,608",Hachijuni Bank,$1.4 B,$256.4 M,$98 B,$3.2 B
"1,608",New Hope Liuhe,$18.3 B,$0.1 M,$17.5 B,$6.1 B
"1,610",SBA Communications,$2.7 B,$555.1 M,$10 B,$21.4 B
"1,611",Electric Power Development,$8.7 B,$537.9 M,$23 B,$3 B
"1,612",Autoliv,$10.6 B,$540 M,$8.3 B,$10.2 B
"1,613",United Natural Foods,$30.3 B,$-115 M,$7.7 B,$666 M
"1,614",Midea Real Estate Holding,$10.5 B,$131.1 M,$28.4 B,$1 B
"1,615",Anhui Construction Engineering Group,$12.3 B,$211.4 M,$23.2 B,$1.2 B
"1,615",Compal Electronics,$29.8 B,$259.8 M,$13.8 B,$5 B
"1,617",Avenue Supermarts,$6.1 B,$306.3 M,$2.5 B,$36.6 B
"1,618",Beijing Shougang,$15.9 B,$97.3 M,$19 B,$3.5 B
"1,619",BAC Holding International,$3.8 B,$610.8 M,$36.3 B,$2.9 B
"1,619",Synovus,$3.5 B,$466.1 M,$59.8 B,$5.9 B
"1,621",DCC,$24.9 B,$409.9 M,$12 B,$7.4 B
"1,622",Link REIT,$1.7 B,$-244.7 M,$32.4 B,$11.9 B
"1,623",Japan Securities,$346 M,$55.5 M,$90.8 B,$907 M
"1,624",Iron Mountain,$5.6 B,$193.7 M,$17.8 B,$24 B
"1,624",SKF Group,$9.6 B,$585.5 M,$11.2 B,$9.9 B
"1,626",D'Ieteren,$8.6 B,$545.6 M,$8 B,$11.4 B
"1,627",Thai Beverage,$7.9 B,$751.9 M,$13.6 B,$9.2 B
"1,627",Zheshang Development Group,$28.5 B,$96.2 M,$6.5 B,$782 M
"1,629",Altice USA,$9.2 B,$6.1 M,$31.9 B,$1 B
"1,629",Kyushu Financial Group,$1.5 B,$182.5 M,$89.3 B,$2.7 B
"1,631",Nishi-nippon Financial Holdings,$1.2 B,$163 M,$89.1 B,$1.8 B
"1,632",Rakuten Bank,$948 M,$238.1 M,$89.1 B,$3.3 B
"1,632",Starwood Property Trust,$2.2 B,$433.6 M,$66.2 B,$6.6 B
"1,632",Tapestry,$6.7 B,$880.8 M,$13.7 B,$9.7 B
"1,632",UCB,$5.7 B,$370.8 M,$17.2 B,$25.7 B
"1,636",Monolithic Power Systems,$1.8 B,$410.1 M,$2.6 B,$35.5 B
"1,637",Bank of Zhengzhou,$3.8 B,$229.8 M,$87.6 B,$1 B
"1,637",Sinotrans Ltd.,$14.4 B,$567.5 M,$11 B,$4 B
"1,639",Insurance Australia Group,$8.4 B,$511.8 M,$17 B,$10.1 B
"1,639",North Pacific Bank,$884 M,$89.3 M,$87.5 B,$1.4 B
"1,641",Huaibei Mining Holdings,$9.9 B,$795.3 M,$12.1 B,$7 B
"1,641",Lennox International,$5 B,$616.4 M,$3 B,$17.5 B
"1,643",Airports of Thailand,$1.8 B,$480.7 M,$5.4 B,$26.4 B
"1,644",Cencosud,$19.7 B,$157.1 M,$16 B,$5.7 B
"1,645",Valley National Bancorp,$3.5 B,$448.2 M,$61 B,$4 B
"1,646",Formosa Chemicals,$10.6 B,$345.1 M,$17.8 B,$10.3 B
"1,647",Hirogin Holdings,$1.3 B,$191.5 M,$84.5 B,$2.3 B
"1,648",Gold Fields,$4.5 B,$700.6 M,$8.2 B,$14.5 B
"1,648",Zhejiang Expressway Co. Ltd.,$2.4 B,$706.7 M,$28.3 B,$4 B
"1,650",Columbia Bank,$3 B,$486.8 M,$52.2 B,$4.3 B
"1,650",Datadog,$2.3 B,$115.3 M,$4.1 B,$40.2 B
"1,652",Companhia Energetica de Minas Gerais,$7.4 B,$1.2 B,$11.3 B,$5.8 B
"1,653",Liberty Global,$7.6 B,$-2.8 B,$40.6 B,$6.8 B
"1,653",W. P. Carey,$1.7 B,$573.2 M,$17.6 B,$13.2 B
"1,655",Yamaguchi Financial,$1.2 B,$174.4 M,$82.9 B,$2.4 B
"1,656",Jiangsu Zhongnan Construction Group,$9.2 B,$-729 M,$30.6 B,$297 M
"1,657",Thai Oil,$13.4 B,$589 M,$11.7 B,$2.9 B
"1,658",B3,$1.8 B,$809 M,$9.8 B,$12.2 B
"1,658",Gap,$14.9 B,$502 M,$11 B,$8.1 B
"1,658",Novonesis A/S,$2.6 B,$438.8 M,$4.2 B,$29.5 B
"1,661",Power Assets Holdings,$165 M,$766.8 M,$12.3 B,$12.8 B
"1,662",Sumitomo Metal Mining,$10 B,$405.3 M,$20 B,$9 B
"1,663",Commercial International Bank,$4.7 B,$966.7 M,$20.6 B,$4.8 B
"1,664",ARC Resources,$3.9 B,$894.9 M,$9.1 B,$11.3 B
"1,665",Asia Commercial Bank,$2.7 B,$673.1 M,$29.6 B,$4.3 B
"1,665",Shenzhou International Group Holdings,$3.5 B,$642.6 M,$6.9 B,$15.6 B
"1,667",AGC,$14 B,$157.5 M,$19.8 B,$7.5 B
"1,668",Adecco Group,$25.8 B,$331.6 M,$13.3 B,$6.7 B
"1,668",Avolta,$14.2 B,$97.1 M,$19.6 B,$6.2 B
"1,668",Graphic Packaging,$9.2 B,$681 M,$11.3 B,$8.6 B
"1,671",BayWa,$24.8 B,$-106.1 M,$14.3 B,$932 M
"1,672",Daou Data,$7.5 B,$51.4 M,$40.3 B,$340 M
"1,673",Brookfield Business,$9.7 B,$512.5 M,$20.9 B,$2.1 B
"1,674",Dai Nippon Printing,$9.9 B,$767.1 M,$12.9 B,$7.4 B
"1,675",Skechers USA,$8.3 B,$592 M,$7.6 B,$10.4 B
"1,676",EQT AB,$2.2 B,$142 M,$10.2 B,$37.8 B
"1,677",Jiangxi Bank,$3.1 B,$100.9 M,$77.9 B,$618 M
"1,678",Jiangsu Changshu Rural Commercial Bank,$2.3 B,$479.5 M,$50.5 B,$3.4 B
"1,679",Heico,$3.2 B,$425.3 M,$7.3 B,$29.8 B
"1,680",Ansys,$2.2 B,$434.6 M,$7.2 B,$28.6 B
"1,680",Kyoto Financial Group,$918 M,$218.3 M,$76.5 B,$1.2 B
"1,682",Skanska,$15.8 B,$461 M,$15 B,$7.5 B
"1,683",Arab Bank,$2.9 B,$536 M,$40.4 B,$3.9 B
"1,683",Segro,$931 M,$-314.5 M,$22.1 B,$15.9 B
"1,685",Incyte,$3.8 B,$745.4 M,$7.1 B,$12.8 B
"1,686",Crown Holdings,$11.8 B,$415 M,$14.7 B,$10.3 B
"1,686",Seres Group,$7.8 B,$-223.8 M,$8.7 B,$18.4 B
"1,688",Ampol,$24.9 B,$364.5 M,$9.1 B,$5.6 B
"1,689",Medipal Holdings,$24.6 B,$286.8 M,$11.9 B,$3 B
"1,690",Wuestenrot & Wuerttembergische,$5.8 B,$276.9 M,$73.8 B,$1.3 B
"1,691",Daishi Hokuetsu Financial Group,$1.2 B,$146.6 M,$73.6 B,$1.4 B
"1,692",CoStar Group,$2.5 B,$294.2 M,$9 B,$35.7 B
"1,693",Jindal Steel & Power,$6 B,$717.3 M,$9.4 B,$12.4 B
"1,694",Host Hotels & Resorts,$5.4 B,$721 M,$12.5 B,$13 B
"1,695",Ceconomy,$24.1 B,$120.3 M,$10.8 B,$1.5 B
"1,696",Eurazeo,$2.4 B,$2 B,$10.8 B,$6.1 B
"1,697",Hengyi Petrochemical,$19.4 B,$113.6 M,$15.2 B,$3.6 B
"1,697",LIC Housing Finance,$3.3 B,$574.8 M,$34.9 B,$4.3 B
"1,699",Adani Green Energy,$1.1 B,$132.9 M,$10.6 B,$34.8 B
"1,699",DGB Financial Group,$3.8 B,$233 M,$71.5 B,$1 B
"1,699",Lasertec,$1.6 B,$463.1 M,$1.7 B,$25.1 B
"1,702",China Grand Automotive Services,$18.7 B,$-9.3 M,$15.5 B,$1.7 B
"1,702",Gunma Bank,$1.4 B,$215.2 M,$71.5 B,$2.6 B
"1,704",Bajaj Holdings & Investment,$207 M,$877.8 M,$7.8 B,$11 B
"1,704",Celltrion,$1.8 B,$297.6 M,$15 B,$29.1 B
"1,704","Chugin Financial Group,Inc.",$1.2 B,$147.9 M,$71.1 B,$1.8 B
"1,707",Bank of Jiujiang,$3.1 B,$59.4 M,$71 B,$2.3 B
"1,708",KION Group,$12.5 B,$373.8 M,$20.6 B,$6.4 B
"1,709",Rite Aid,$23.5 B,$-1.6 B,$7.1 B,$7 M
"1,710",Orpea,$5.6 B,$1.5 B,$15.4 B,$2.3 B
"1,711",Focus Media Information Technology,$1.6 B,$686.9 M,$3.5 B,$13.6 B
"1,712",CTP,$786 M,$1 B,$17 B,$8.2 B
"1,713",Umicore,$19.7 B,$416.3 M,$11.2 B,$5.1 B
"1,713",Warner Music Group,$6.4 B,$522 M,$8.7 B,$16.6 B
"1,715",SBI Sumishin Net Bank,$819 M,$171.8 M,$70.5 B,$2.6 B
"1,715",Toppan Printing,$11.6 B,$514.5 M,$16.1 B,$7.8 B
"1,717",Everbright Securities,$1.9 B,$549.8 M,$36.6 B,$3.5 B
"1,717",Parkland,$23.2 B,$288.4 M,$10.3 B,$5.1 B
"1,719",Shanghai Tunnel Engineering Co. Ltd.,$10.7 B,$409.2 M,$22.2 B,$3.1 B
"1,720",Taiwan Business Bank,$2 B,$316.3 M,$69.5 B,$4.4 B
"1,720",Telia,$8.5 B,$28 M,$20.5 B,$9.9 B
"1,722",77 Bank,$905 M,$206.1 M,$69.4 B,$2.3 B
"1,723",Kawasaki Kisen Kaisha,$6.7 B,$724.6 M,$13.9 B,$10.5 B
"1,724",IDEX,$3.2 B,$577.7 M,$5.9 B,$16.8 B
"1,724",Indorama Ventures,$15.3 B,$-324.7 M,$17.2 B,$3.9 B
"1,726",Kingfisher,$16.2 B,$430.2 M,$15.2 B,$6.2 B
"1,727",Braskem,$14 B,$-1.2 B,$18.7 B,$3 B
"1,727",Lotte Shopping,$11 B,$139.6 M,$22.9 B,$1.4 B
"1,729",Gaming And Leisure Properties,$1.5 B,$725 M,$11.8 B,$12.5 B
"1,729",Quilter,$5.8 B,$52.2 M,$68 B,$1.9 B
"1,731",Bendigo & Adelaide Bank,$3 B,$352 M,$67.9 B,$4.1 B
"1,731",Daou Technology,$7.1 B,$152.7 M,$39.9 B,$620 M
"1,733",BOK Financial,$3.3 B,$448.4 M,$50.2 B,$6.2 B
"1,734",Marks & Spencer,$15.4 B,$496.7 M,$10.7 B,$7.2 B
"1,735",Berry Global Group,$12.2 B,$504 M,$16 B,$6.9 B
"1,735",WPG Holdings,$22.6 B,$298.3 M,$10.6 B,$4.6 B
"1,737",Shandong Gold Mining,$8.4 B,$253.1 M,$19 B,$10.6 B
"1,738",China Merchants Port Holdings,$1.5 B,$796.1 M,$22.1 B,$6.3 B
"1,738",PT Adaro Energy Indonesia,$6.1 B,$1.6 B,$10.5 B,$5.6 B
"1,740",Advantest,$3.4 B,$430.8 M,$4.4 B,$26.3 B
"1,740",Ooredoo Q.P.S.C,$6.4 B,$815.4 M,$15.6 B,$8.7 B
"1,742",Pandora,$4.2 B,$700.5 M,$3.5 B,$12.8 B
"1,743",Bank of Queensland,$3.1 B,$178.4 M,$65.9 B,$2.6 B
"1,743",Jinke Property Group,$8.3 B,$-1.3 B,$29.9 B,$1.2 B
"1,745",Air Lease,$2.5 B,$593.8 M,$30.9 B,$5.5 B
"1,745",Latour Ab Investment,$2.4 B,$551.6 M,$5.9 B,$17.6 B
"1,747",Haidilao International Holding,$5.8 B,$635.4 M,$3.5 B,$14.2 B
"1,748",Oshkosh,$9.9 B,$688.9 M,$9.5 B,$7.6 B
"1,749",Luzerner Kantonalbank,$1.4 B,$314.9 M,$65.6 B,$3.8 B
"1,750",Akamai Technologies,$3.9 B,$625.9 M,$9.9 B,$14.5 B
"1,750",Qingdao Rural Commercial Bank,$2.7 B,$351.9 M,$65.6 B,$2.2 B
"1,750",South State,$2.3 B,$469.4 M,$45.1 B,$6.2 B
"1,753",HubSpot,$2.3 B,$-132.1 M,$3.2 B,$31.4 B
"1,754",Domino's Pizza,$4.5 B,$540.2 M,$1.7 B,$17.9 B
"1,755",Nitto Denko,$6.3 B,$710.1 M,$8.3 B,$11.1 B
"1,756",Carlyle Group,$3.1 B,$-643.5 M,$20.9 B,$15.5 B
"1,756",WT Microelectronics,$21.2 B,$146.6 M,$9.2 B,$4.2 B
"1,758",Zenith Bank,$2.8 B,$981.4 M,$18.6 B,$690 M
"1,759",CP Axtra,$14 B,$254.2 M,$14.7 B,$8.9 B
"1,760",General Insurance Corporation Of India,$5.7 B,$827.5 M,$20.9 B,$7.2 B
"1,761",EMS-Chemie Holding,$2.4 B,$509.2 M,$2.6 B,$19.7 B
"1,761",F.N.B.,$2.4 B,$459.7 M,$45.9 B,$5.1 B
"1,763",Nitori Holdings,$6.2 B,$598.4 M,$8.2 B,$13.4 B
"1,764",Bank of Lanzhou,$2.8 B,$260.6 M,$64 B,$2.1 B
"1,764","LG Innotek Co.,",$15.6 B,$470 M,$8.1 B,$4.2 B
"1,766",Drax Group plc,$9.7 B,$698.8 M,$7.7 B,$2.8 B
"1,767",AVIC Capital,$2.7 B,$-32.1 M,$62.8 B,$3.7 B
"1,767",Jointown Pharmaceutical Group,$20.7 B,$299.9 M,$13.5 B,$4.3 B
"1,769",Yes Bank,$4 B,$155.2 M,$48.7 B,$8.3 B
"1,769",Yunnan Copper Co. Ltd.,$20.6 B,$216.4 M,$6.7 B,$4 B
"1,771",Basler Kantonalbank,$1.6 B,$188.5 M,$62.6 B,$370 M
"1,772",Axis Capital Holdings,$5.7 B,$591.6 M,$29.7 B,$6.1 B
"1,773",Bausch Health Companies,$9 B,$-453.4 M,$26.9 B,$2.5 B
"1,773",Nova Ljubljanska Banka,$1.6 B,$618.7 M,$28.1 B,$2.5 B
"1,775",Zhongliang Holdings,$9.4 B,$-585.7 M,$25.5 B,$131 M
"1,776",Pentair,$4.1 B,$626.3 M,$6.7 B,$13.9 B
"1,777",CapitaMall Trust,$1.2 B,$642.2 M,$18.8 B,$9.9 B
"1,778",Samsung SDS,$9.9 B,$531.8 M,$9.3 B,$9 B
"1,779",FIBI Holdings,$3 B,$283.9 M,$61.5 B,$1.5 B
"1,780",Mondi,$7.9 B,$652.7 M,$11 B,$8.9 B
"1,781",RiseSun Real Estate Development,$8.7 B,$150.3 M,$27.4 B,$1.2 B
"1,782","Iyogin Holdings,Inc.",$1.3 B,$272.9 M,$61.2 B,$2.6 B
"1,783",Bank of Xi'an,$2.3 B,$346.8 M,$61 B,$2.3 B
"1,784",JB Financial Group,$3 B,$434.5 M,$47.8 B,$1.9 B
"1,785",Mid-america Apartment Communities,$2.2 B,$560.4 M,$11.5 B,$16.1 B
"1,786",Burlington Stores,$9.7 B,$339.6 M,$7.7 B,$12.3 B
"1,787",Alfresa Holdings,$19.8 B,$204.4 M,$9.6 B,$2.5 B
"1,787",Pinterest,$3.2 B,$148.2 M,$3.7 B,$29 B
"1,789",Rollins,$3.2 B,$441.1 M,$2.7 B,$22.3 B
